"","variable","mean","median","sd","q5","q95","rhat","ess_bulk","ess_tail"
"57","b_comparedinterest_test_type3VS4:tempHot",37.0885557528652,37.4428850526287,37.0305050678154,-23.141309765144,98.5549524796125,1.00021608000231,2882.62777643859,4815.37368162454
"58","b_comparedinterest_test_type1VS3:cortControl",26.2303317991173,26.5112609380067,35.1090793925375,-32.7797832666882,83.7043724919611,1.00077068296891,2626.22071251528,4280.55278275507
"59","b_comparedinterest_test_type2VS4:cortControl",-6.77729163979514,-6.75644145585497,35.210332754311,-65.2757190630383,52.5350722402736,1.00003205752499,2680.93970540163,4516.68098500996
"60","b_comparedinterest_test_type2VS3:cortControl",46.6827843838214,46.939269137046,35.5160845435028,-11.6555836669102,105.263777464779,0.99999811564677,2685.13495415968,4737.58435944868
"61","b_comparedinterest_test_type3VS4:cortControl",61.8381646942383,61.8172272261109,35.6240981990757,3.19578411640866,119.951624423541,1.00032188457682,2998.8114248413,4744.34061324494
"62","b_comparedinterest_tempHot:cortControl",18.1202789683738,17.7542601277014,36.4555479625912,-40.9622536984413,78.6188793633592,1.00093478183255,1950.2400231494,3507.12385018404
"63","b_comparedinterest_test_type1VS3:tempHot:cortControl",-73.8614005656315,-73.8858455788629,50.1984937727028,-156.120408324329,9.14660539187812,1.00082130254276,2599.71702133409,4954.46668095983
"64","b_comparedinterest_test_type2VS4:tempHot:cortControl",16.8784967164524,16.5374199078958,50.6760283267493,-65.6746056508157,99.6687946575355,0.99988951327288,2794.57780902639,4914.35345594116
"65","b_comparedinterest_test_type2VS3:tempHot:cortControl",-87.9578707852053,-87.3644963530149,50.163661575753,-170.396531549287,-6.14741796613437,1.0010950015926,2469.80087167511,4453.80617595199
"66","b_comparedinterest_test_type3VS4:tempHot:cortControl",-42.0198323798036,-41.9414680514373,51.2877358878928,-126.804234682148,41.3237527550706,1.00064673235694,2869.93096859414,4149.52137127228
"67","sd_clutch__loglatency_Intercept",0.340254264968999,0.336920358215378,0.194926613251656,0.0391859814425678,0.669496307333954,1.00999883407219,532.351687752756,1880.91375269889
"68","sd_lizard_id__loglatency_Intercept",0.80892198918556,0.807381943932834,0.100443463589031,0.646785861917863,0.975668920364485,1.00245471416961,1191.94969605397,3035.04121811038
"69","sd_clutch__choice_Intercept",0.258069208698238,0.225850102463623,0.186194554903551,0.0219811418718174,0.603939047052244,1.00105031244376,2297.63432213119,3958.0976991532
"70","sd_lizard_id__choice_Intercept",0.595465501928521,0.605545758016191,0.246881580663553,0.15753771418088,0.989289289421532,1.00155897531591,1707.43117342036,1801.37966961471
"71","sd_clutch__comparedinterest_Intercept",9.73405352351138,9.03402348555429,6.32216424225287,0.96391474095837,20.9920204505128,1.00039432384606,2211.53302686949,3007.6080317616
"72","sd_lizard_id__comparedinterest_Intercept",9.28014955040907,8.40961504990145,6.32878814335458,0.82753507364034,20.8407338084039,1.00097041810002,2215.66105356253,3444.65941124848
"73","sigma_loglatency",0.650615776328419,0.649568529986584,0.0275837687769691,0.606424231850445,0.69701531623507,1.00008198422358,8029.46876785846,5832.5403708668
"74","sigma_comparedinterest",78.8132916664086,78.7586620620556,3.02341336602935,73.9875548482508,83.8830831123779,1.00033327493651,10837.5803788472,5755.77267028517
"75","lprior",-29.2582252937548,-29.2545668567133,0.0779348180670646,-29.3929427490346,-29.1361271044532,1.00074142995063,5309.39053254222,6248.27852905438
"76","lp__",-3440.81553988969,-3440.90581245527,18.7659046939011,-3471.76222519251,-3410.4100289426,1.00141457989584,1767.95932415352,3585.70741427825
