"","position","lizard_id","trt","sex","current_enclosure","clutch","hatch_date","test_date","age","notes","day","test_type","pos_high_lat","pos_high_risk","choice","lat_high","lat_low","time_high","time_low","compared_interest","ratio_interest","side_choice","temp","cort"
"112","C2",2831,"B_23","m","E705_23","CL780_24","17/1/2024","18/5/2024",122,"",2,"1 VS 3","Left","Far",1,969,1100,123,36,87,0.547169811,"Left","Cold","CORT"
"113","C2",3150,"A_28","f","E094_23","CL864_24","17/1/2024","18/5/2024",122,"",2,"1 VS 3","Left","Close",1,1723,1920,165,115,50,0.178571429,"Left","Hot","Control"
"114","C2",3161,"B_28","f","E664_23","CL866_24","17/1/2024","18/5/2024",122,"",2,"2 VS 3","Left","Close",1,200,486,226,142,84,0.22826087,"Left","Hot","CORT"
"115","C3",2975,"B_23","m","E915_23","CL819_24","24/1/2024","18/5/2024",115,"Might be two clutches.",2,"1 VS 4","Right","Close",0,713,35,136,300,-164,-0.376146789,"Left","Cold","CORT"
"116","C3",3151,"B_28","f","E801_23","CL864_24","17/1/2024","18/5/2024",122,"",2,"2 VS 4","Right","Close",0,255,118,219,119,100,0.295857988,"Left","Hot","CORT"
"117","C3",3175,"A_28","f","E733_23","CL868_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",2,"1 VS 4","Left","Close",1,350,724,160,143,17,0.056105611,"Left","Hot","Control"
"118","C4",2810,"A_23","m","E582_23","CL772_24","17/1/2024","18/5/2024",122,"",2,"2 VS 3","Right","Close",0,522,202,145,121,24,0.090225564,"Left","Cold","Control"
"119","C4",2941,"A_23","m","E045_23","CL810_24","22/1/2024","18/5/2024",117,"",2,"2 VS 4","Left","Close",0,1019,744,248,165,83,0.200968523,"Right","Cold","Control"
"120","C4",3126,"A_28","f","E817_23","CL858_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Left","Close",0,1063,721,89,238,-149,-0.455657492,"Right","Hot","Control"
"121","E1",2869,"B_23","f","E411_23","CL793_24","19/1/2024","18/5/2024",120,"",2,"3 VS 4","Right","Close",1,4683,5332,34,87,-53,-0.438016529,"Right","Cold","CORT"
"122","E1",3019,"A_28","f","E074_23","CL828_24","8/1/2024","18/5/2024",131,"",2,"2 VS 3","Left","Close",0,4487,329,27,32,-5,-0.084745763,"Right","Hot","Control"
"123","E1",3168,"A_28","f","E534_23","CL867_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",2,"2 VS 4","Left","Far",0,4005,1432,37,48,-11,-0.129411765,"Right","Hot","Control"
"124","E2",2897,"B_23","f","E473_23","CL800_24","22/1/2024","18/5/2024",117,"",2,"2 VS 3","Right","Close",1,54,707,177,106,71,0.250883392,"Right","Cold","CORT"
"125","E2",3022,"A_23","f","E478_23","CL829_24","22/1/2024","18/5/2024",117,"",2,"1 VS 3","Right","Far",1,3979,4289,60,26,34,0.395348837,"Right","Cold","Control"
"126","E2",3119,"B_28","m","E713_23","CL855_24","15/1/2024","18/5/2024",124,"",2,"1 VS 3","Left","Far",1,247,3794,55,12,43,0.641791045,"Left","Hot","CORT"
"127","E2",3121,"A_28","f","E377_23","CL856_24","15/1/2024","18/5/2024",124,"",2,"1 VS 3","Left","Close",1,869,985,NA,NA,NA,NA,"Left","Hot","Control"
"128","E3",2812,"B_23","m","E278_23","CL772_24","17/1/2024","18/5/2024",122,"",2,"2 VS 4","Right","Far",1,713,807,101,49,52,0.346666667,"Right","Cold","CORT"
"129","E3",2844,"A_23","m","E1728_23","CL784_24","15/1/2024","18/5/2024",124,"",2,"1 VS 4","Left","Far",0,289,222,32,45,-13,-0.168831169,"Right","Cold","Control"
"130","E3",3002,"B_28","f","E787_23","CL824_24","8/1/2024","18/5/2024",131,"",2,"1 VS 4","Right","Far",1,6411,6530,NA,NA,NA,NA,"Right","Hot","CORT"
"131","E3",3075,"A_28","m","E827_23","CL845_24","15/1/2024","18/5/2024",124,"",2,"1 VS 4","Right","Close",1,69,208,118,136,-18,-0.070866142,"Right","Hot","Control"
"132","E4",2934,"B_23","f","E159_23","CL809_24","24/1/2024","18/5/2024",115,"Might be three clutches.",2,"1 VS 3","Right","Far",0,423,324,54,106,-52,-0.325,"Left","Cold","CORT"
"133","E4",2943,"A_23","m","E323_23","CL811_24","26/1/2024","18/5/2024",113,"",2,"3 VS 4","Left","Close",1,539,43,35,27,8,0.129032258,"Left","Cold","Control"
"134","E4",3077,"B_28","m","E689_23","CL845_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Right","Close",1,144,NA,NA,NA,NA,NA,"Right","Hot","CORT"
"135","F1",2813,"A_23","m","E778_23","CL773_24","15/1/2024","18/5/2024",124,"",2,"2 VS 3","Left","Close",1,958,1827,28,33,-5,-0.081967213,"Left","Cold","Control"
"136","F1",2859,"B_23","f","E1027_23","CL789_24","19/1/2024","18/5/2024",120,"",2,"1 VS 4","Right","Close",0,1268,1224,123,6,117,0.906976744,"Left","Cold","CORT"
"137","F1",3117,"A_28","f","E669_23","CL855_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Right","Close",1,296,500,NA,NA,NA,NA,"Right","Hot","Control"
