"","Test","Cold_CORT","Cold_Control","Hot_CORT","Hot_Control"
"111","1VS4","6.25483721128701","5.76468291070341","5.83298000579303","5.55878714712319"
"112","1VS4","5.44118730184967","6.11081198939392","6.40138992472132","5.09073310492844"
"113","1VS4","6.22862779206888","6.35023722751855","5.53660950433312","5.74689051992765"
"114","1VS4","6.22714689359006","5.83556036176892","6.06780650733285","5.59864867714104"
"115","1VS4","6.50901345846711","6.29285286806808","6.30178667127899","5.29184045885914"
"116","1VS4","6.29433221772017","6.1545512751614","5.9706225005985","5.68066089209491"
"117","1VS4","6.22204144061745","5.99266955675002","5.34493133096297","5.09241149850148"
"118","1VS4","6.18466994103988","5.66345228302773","6.4184301714841","5.50076914136725"
"119","1VS4","5.69610523245484","6.18780677320958","6.35138225364104","5.19621892018099"
"120","1VS4","6.22025965569719","5.38139805868502","5.2669912551034","5.48921347824671"
"121","1VS4","5.91844772941063","6.04682805252404","6.44948222276811","6.04135085815722"
"122","1VS4","5.97146552345503","5.92715067795362","5.50366630428683","4.94776108841123"
"123","1VS4","5.98541787743807","5.97551694731516","6.81117456509403","5.3076295703847"
"124","1VS4","5.81329697500102","6.33168625760515","6.01276230042586","5.28136288267696"
"125","1VS4","5.69411938959379","6.25212313396323","6.0247079921391","5.53428023149704"
"126","1VS4","5.99033224758627","6.08082247223574","5.73134625729125","5.91056980574357"
"127","1VS4","6.33761535858702","6.03021044021536","5.73617634492477","5.01658653225971"
"128","1VS4","6.11899510436408","6.01568745002402","6.3711980149483","5.68211524756561"
"129","1VS4","6.12704496015876","5.94257091894088","5.78126952578452","6.00534891038934"
"130","1VS4","6.44511945288455","6.23407411767416","6.05097155710119","5.57369525488783"
"131","1VS4","5.95914817344792","6.0931526490445","6.46593154429231","5.76114648919186"
"132","1VS4","5.81161728725092","5.54467328589899","5.26277859319891","5.21838105016598"
"133","1VS4","6.31173499455462","5.86539903513488","6.01846598962858","5.10106801852232"
"134","1VS4","5.81727863469277","5.77253055736965","6.16615258557187","5.46898851854069"
"135","1VS4","6.48457866050351","6.37306532309062","6.51884453722442","5.21602961028367"
"136","1VS4","5.78581330650167","5.93989974106057","5.23558533129164","5.5006692475615"
"137","1VS4","6.32115633831977","5.85358878724979","5.36831839979721","5.68081143215999"
"138","1VS4","5.94110570071227","6.24224412557539","5.66010954451438","5.0444141317954"
"139","1VS4","6.27420493654248","6.36121982729975","6.02619714425512","5.53765101075689"
"140","1VS4","6.03398428419835","5.87682832830201","5.87568909027445","5.43093286464124"
"141","1VS4","5.63552509731476","6.2489691579815","6.16788961766903","4.87322915534539"
"142","1VS4","5.95867033440852","6.09412134476667","5.54238815399072","5.28253128882031"
"143","1VS4","6.05987937735957","5.97260205492677","5.88947182434779","5.3363386688047"
"144","1VS4","5.83063229829556","5.78196314152007","5.94627939241634","5.25719456902445"
"145","1VS4","5.85098478960007","6.14960548834022","6.32730659154032","5.18263552613327"
"146","1VS4","5.52598220408131","6.49538608960646","5.63119668102621","5.84201324381757"
"147","1VS4","5.95210049684803","6.03035926791547","6.41824890098392","5.35441548170622"
"148","1VS4","6.35315089414184","6.50358914108904","6.38855809257431","5.17178215625071"
"149","1VS4","5.93710485516221","5.82102715740659","5.92431944580721","5.79638642576605"
"150","1VS4","5.76211815923627","6.45060489950191","5.95022140661392","5.18180573765728"
"151","1VS4","6.18695931908946","6.36505275236757","5.54609999381916","5.47989012760507"
"152","1VS4","6.18830850510718","6.0458269925662","6.15998379881003","5.20728238341017"
"153","1VS4","5.79833181112341","6.04227741027452","5.89664027074092","4.65910428486079"
"154","1VS4","5.93985978943577","6.0791404138519","6.24865082220512","5.75750269107351"
"155","1VS4","5.95332351533396","6.226025505461","6.02378252398975","5.41417528643387"
"156","1VS4","6.14652051156956","6.54746241683831","5.84040386169733","5.70359619837486"
"157","1VS4","5.4565613124997","5.8428693516233","5.41683805817394","5.48569515604003"
"158","1VS4","5.98691935127906","5.96717748272253","6.03921011314572","5.10082930977889"
"159","1VS4","6.12307103564175","6.20415391872663","6.41549351297914","5.21573368695843"
