rack,camera,day,lizard_id,test,measure_small,measure_big,diff_measure
C,3,1,2975,3 VS 4,1.29,2.18,0.89
C,3,1,3151,1 VS 3,0.7,1.63,0.93
C,3,1,3175,3 VS 4,1.69,1.82,0.13
C,4,1,2810,2 VS 4,1.89,2.14,0.25
C,4,1,2941,1 VS 3,0.67,1.2,0.53
C,4,1,3126,2 VS 3,1.92,2.24,0.32
C,1,2,2880,2 VS 4,2.12,2.44,0.32
C,1,2,2991,3 VS 4,1.64,2.16,0.52
C,1,2,3076,3 VS 4,1.57,1.8,0.23
C,2,2,2831,1 VS 3,1.07,1.6,0.53
C,2,2,3150,1 VS 3,0.82,1.8,0.98
C,2,2,3161,2 VS 3,1.64,1.68,0.04
C,3,2,2975,1 VS 4,0.78,1.81,1.03
C,3,2,3151,2 VS 4,1.66,2.08,0.42
C,3,2,3175,1 VS 4,0.7,1.93,1.23
C,4,2,2810,2 VS 3,1.86,1.6,-0.26
C,4,2,2941,2 VS 4,1.82,2.2,0.38
C,4,2,3126,3 VS 4,1.57,2.31,0.74
C,1,3,2880,2 VS 3,1.85,1.53,-0.32
C,1,3,2991,1 VS 4,0.79,1.97,1.18
C,1,3,3076,1 VS 4,0.9,1.76,0.86
C,2,3,2831,2 VS 4,1.87,1.76,-0.11
C,2,3,3150,2 VS 4,1.91,1.68,-0.23
C,2,3,3161,3 VS 4,0.72,1.43,0.71
C,3,3,2975,1 VS 3,0.89,1.67,0.78
C,3,3,3151,2 VS 3,1.69,1.55,-0.14
C,3,3,3175,1 VS 3,0.79,1.48,0.69
C,4,3,2810,3 VS 4,1.89,1.93,0.04
C,4,3,2941,2 VS 3,1.49,2.01,0.52
C,4,3,3126,1 VS 4,0.76,1.86,1.1
C,1,4,2880,3 VS 4,1.32,1.7,0.38
C,1,4,2991,1 VS 3,0.81,1.29,0.48
C,1,4,3076,1 VS 3,0.69,1.53,0.84
C,2,4,2831,2 VS 3,1.66,1.61,-0.05
C,2,4,3150,2 VS 3,1.85,1.75,-0.1
C,2,4,3161,1 VS 4,0.73,1.56,0.83
C,3,4,2975,2 VS 4,1.26,1.36,0.1
C,3,4,3151,3 VS 4,1.47,1.62,0.15
C,3,4,3175,2 VS 4,1.56,1.49,-0.07
C,4,4,2810,1 VS 4,0.76,1.82,1.06
C,4,4,2941,3 VS 4,1.86,2.2,0.34
C,4,4,3126,1 VS 3,0.73,1.76,1.03
C,1,5,2880,1 VS 4,0.84,1.66,0.82
C,1,5,2991,2 VS 4,1.75,1.49,-0.26
C,1,5,3076,2 VS 4,1.67,2.1,0.43
C,2,5,2831,3 VS 4,1.8,1.9,0.1
C,2,5,3150,3 VS 4,1.71,2.14,0.43
C,2,5,3161,1 VS 3,0.87,1.29,0.42
C,3,5,2975,2 VS 3,1.66,1.56,-0.1
C,3,5,3151,1 VS 4,0.78,1.54,0.76
C,3,5,3175,2 VS 3,1.56,1.2,-0.36
C,4,5,2810,1 VS 3,1.11,1.69,0.58
C,4,5,2941,1 VS 4,0.73,2.14,1.41
C,4,5,3126,2 VS 4,1.72,2.09,0.37
