position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
G2,2894,B_23,f,E181_23,CL798_24,24/1/2024,18/5/2024,115,,1,1 VS 4,Right,Close,0,1384,45,45,90,300,-210,-0.538461538,Left
G2,3000,A_28,m,E193_23,CL823_24,8/1/2024,18/5/2024,131,,1,3 VS 4,Left,Close,0,1591,715,715,57,237,-180,-0.612244898,Right
G3,2846,A_23,f,E766_23,CL785_24,15/1/2024,18/5/2024,124,,1,2 VS 4,Right,Close,1,414,1902,414,295,248,47,0.086556169,Right
G3,3146,A_28,f,E069_23,CL862_24,12/1/2024,18/5/2024,127,,1,2 VS 3,Right,Close,0,494,208,208,82,152,-70,-0.299145299,Left
G3,3167,B_28,f,E639_23,CL867_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",1,2 VS 3,Right,Far,0,3239,640,640,18,34,-16,-0.307692308,Left
G4,2817,A_23,m,E627_23,CL774_24,15/1/2024,18/5/2024,124,,1,1 VS 3,Left,Far,0,1842,289,289,193,292,-99,-0.204123711,Right
G4,2932,B_23,m,E190_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,1,3 VS 4,Left,Close,0,400,61,61,189,291,-102,-0.2125,Right
G4,3130,B_28,f,E416_23,CL859_24,15/1/2024,18/5/2024,124,,1,2 VS 4,Right,Close,1,996,2040,996,290,108,182,0.457286432,Right
G4,3133,A_28,f,E558_23,CL859_24,12/1/2024,18/5/2024,127,,1,2 VS 4,Left,Close,1,222,1104,222,253,231,22,0.045454545,Left
A1,2882,A_23,m,E552_23,CL796_24,19/1/2024,18/5/2024,120,,2,1 VS 3,Right,Far,0,441,321,321,7,19,-12,-0.461538462,Left
A1,2940,B_28,m,E236_23,CL810_24,3/1/2024,18/5/2024,136,,2,2 VS 4,Left,Far,1,2643,3356,2643,201,300,-99,-0.19760479,Left
